,record_date,power_consumption
328,2015/11/25,3608402
329,2015/11/26,4160858
330,2015/11/27,4169118
331,2015/11/28,3927863
332,2015/11/29,3566745
333,2015/11/30,3782338
334,2015/12/1,3876643
335,2015/12/2,3998786
336,2015/12/3,4030378
337,2015/12/4,3872078
338,2015/12/5,3701451
339,2015/12/6,3723541
340,2015/12/7,3983834
341,2015/12/8,4140712
342,2015/12/9,4068916
343,2015/12/10,4232933
344,2015/12/11,4208018
345,2015/12/12,4001223
346,2015/12/13,3856921
347,2015/12/14,4117837
348,2015/12/15,3315516
349,2015/12/16,4269798
350,2015/12/17,4316805
351,2015/12/18,4348796
352,2015/12/19,4117298
353,2015/12/20,3969676
354,2015/12/21,4170567
355,2015/12/22,3869879
356,2015/12/23,4167805
357,2015/12/24,4320650
358,2015/12/25,4294518
359,2015/12/26,3874950
360,2015/12/27,3905750
361,2015/12/28,4105261
362,2015/12/29,4255276
363,2015/12/30,4170536
364,2015/12/31,4020591
365,2016/1/1,3232705
366,2016/1/2,3400311
367,2016/1/3,3641332
368,2016/1/4,4010378
369,2016/1/5,4114238
370,2016/1/6,4228910
371,2016/1/7,4271151
372,2016/1/8,4064567
373,2016/1/9,4063805
374,2016/1/10,3631998
375,2016/1/11,4219307
376,2016/1/12,4335493
377,2016/1/13,3567044
378,2016/1/14,4188494
379,2016/1/15,3459120
380,2016/1/16,3825385
381,2016/1/17,3356428
382,2016/1/18,3964754
383,2016/1/19,3967388
384,2016/1/20,4014577
385,2016/1/21,4179388
386,2016/1/22,3869181
387,2016/1/23,3857605
388,2016/1/24,3418767
389,2016/1/25,3577731
390,2016/1/26,3529451
391,2016/1/27,3796580
392,2016/1/28,3828398
393,2016/1/29,3817281
394,2016/1/30,3585530
395,2016/1/31,3474602
396,2016/2/1,3577546
397,2016/2/2,3400726
398,2016/2/3,3164092
399,2016/2/4,2985701
400,2016/2/5,2769694
401,2016/2/6,2651179
402,2016/2/7,2400941
403,2016/2/8,2328935
404,2016/2/9,2367668
405,2016/2/10,2360456
406,2016/2/11,2390654
407,2016/2/12,2456605
408,2016/2/13,2519542
409,2016/2/14,2629206
410,2016/2/15,2932628
411,2016/2/16,3138577
412,2016/2/17,3211835
413,2016/2/18,3327845
414,2016/2/19,3534671
415,2016/2/20,3457037
416,2016/2/21,3353382
417,2016/2/22,3740474
418,2016/2/23,3752948
419,2016/2/24,3817079
420,2016/2/25,3821269
421,2016/2/26,3778753
422,2016/2/27,3621678
423,2016/2/28,3427752
424,2016/2/29,3830666
425,2016/3/1,3990461
426,2016/3/2,4052463
427,2016/3/3,4077052
428,2016/3/4,4047478
429,2016/3/5,3862328
430,2016/3/6,3680144
431,2016/3/7,4082510
432,2016/3/8,4128456
433,2016/3/9,4266444
434,2016/3/10,4034056
435,2016/3/11,4187860
436,2016/3/12,3971600
437,2016/3/13,3671423
438,2016/3/14,4040799
439,2016/3/15,4126436
440,2016/3/16,3999919
441,2016/3/17,3960902
442,2016/3/18,4028738
443,2016/3/19,3890087
444,2016/3/20,3590345
445,2016/3/21,3903985
446,2016/3/22,4615207
447,2016/3/23,4049102
448,2016/3/24,4080274
449,2016/3/25,4024048
450,2016/3/26,3911950
451,2016/3/27,3684076
452,2016/3/28,3969515
453,2016/3/29,4026603
454,2016/3/30,4007978
455,2016/3/31,4019892
456,2016/4/1,4003527
457,2016/4/2,4017529
458,2016/4/3,3732506
459,2016/4/4,3216632
460,2016/4/5,3710743
461,2016/4/6,4068945
462,2016/4/7,3995555
463,2016/4/8,4036804
464,2016/4/9,3995427
465,2016/4/10,3713744
466,2016/4/11,3902557
467,2016/4/12,3994915
468,2016/4/13,4030816
469,2016/4/14,4053163
470,2016/4/15,4044319
471,2016/4/16,3962151
472,2016/4/17,3720344
473,2016/4/18,3830146
474,2016/4/19,3853482
475,2016/4/20,3601084
476,2016/4/21,3938636
477,2016/4/22,3975591
478,2016/4/23,4130359
479,2016/4/24,3779401
480,2016/4/25,3992619
481,2016/4/26,4096040
482,2016/4/27,3938562
483,2016/4/28,3950044
484,2016/4/29,3956025
485,2016/4/30,3675404
486,2016/5/1,3127033
487,2016/5/2,3471769
488,2016/5/3,3686262
489,2016/5/4,3904758
490,2016/5/5,4076967
491,2016/5/6,4110685
492,2016/5/7,4001702
493,2016/5/8,3626796
494,2016/5/9,4004587
495,2016/5/10,3977966
496,2016/5/11,4015503
497,2016/5/12,4132899
498,2016/5/13,4108075
499,2016/5/14,3989503
500,2016/5/15,3756678
501,2016/5/16,3952351
502,2016/5/17,3949708
503,2016/5/18,3901864
504,2016/5/19,3913280
505,2016/5/20,3963967
506,2016/5/21,3890195
507,2016/5/22,3640372
508,2016/5/23,3969389
509,2016/5/24,4043578
510,2016/5/25,4096819
511,2016/5/26,4219737
512,2016/5/27,4113139
513,2016/5/28,4009038
514,2016/5/29,3789849
515,2016/5/30,3872713
516,2016/5/31,4014739
517,2016/6/1,3988022
518,2016/6/2,3968795
519,2016/6/3,4041719
520,2016/6/4,3874204
521,2016/6/5,3692647
522,2016/6/6,4008633
523,2016/6/7,4162818
524,2016/6/8,4055291
525,2016/6/9,3548896
526,2016/6/10,3762722
527,2016/6/11,3902134
528,2016/6/12,3974914
529,2016/6/13,4169418
530,2016/6/14,4264932
531,2016/6/15,4334099
532,2016/6/16,4163197
533,2016/6/17,4301308
534,2016/6/18,4234259
535,2016/6/19,4047065
536,2016/6/20,4155898
537,2016/6/21,4371422
538,2016/6/22,4418030
539,2016/6/23,4536418
540,2016/6/24,4447924
541,2016/6/25,4087964
542,2016/6/26,3885732
543,2016/6/27,4128141
544,2016/6/28,4207413
545,2016/6/29,4747110
546,2016/6/30,4905574
547,2016/7/1,4335777
548,2016/7/2,4079363
549,2016/7/3,3840101
550,2016/7/4,4071327
551,2016/7/5,4161432
552,2016/7/6,4104851
553,2016/7/7,4498741
554,2016/7/8,4554365
555,2016/7/9,4333160
556,2016/7/10,4074906
557,2016/7/11,4441372
558,2016/7/12,4525375
559,2016/7/13,4481143
560,2016/7/14,4538956
561,2016/7/15,4634383
562,2016/7/16,4220289
563,2016/7/17,4107215
564,2016/7/18,4550893
565,2016/7/19,4677268
566,2016/7/20,4772549
567,2016/7/21,4750962
568,2016/7/22,4754751
569,2016/7/23,4637393
570,2016/7/24,4311960
571,2016/7/25,4809396
572,2016/7/26,4852473
573,2016/7/27,4737322
574,2016/7/28,4790575
575,2016/7/29,4788141
576,2016/7/30,4514944
577,2016/7/31,4259280
578,2016/8/1,4627029
579,2016/8/2,4618467
580,2016/8/3,4490739
581,2016/8/4,4367727
582,2016/8/5,4253298
583,2016/8/6,4023140
584,2016/8/7,3663205
585,2016/8/8,3689233
586,2016/8/9,3679212
587,2016/8/10,3994246
588,2016/8/11,4061157
589,2016/8/12,4127489
590,2016/8/13,4043540
591,2016/8/14,3744055
592,2016/8/15,4222039
593,2016/8/16,4603302
594,2016/8/17,4200728
595,2016/8/18,4454857
596,2016/8/19,4517220
597,2016/8/20,4141047
598,2016/8/21,3873626
599,2016/8/22,4285132
600,2016/8/23,4200526
601,2016/8/24,4151262
602,2016/8/25,4194893
603,2016/8/26,4018774
604,2016/8/27,3610828
605,2016/8/28,3446470
606,2016/8/29,3681879
607,2016/8/30,3607667
608,2016/8/31,3664003
